scope,unit,chain,track,family,primary_metric,mean,std,n,seed_values_json,selected_model,selected_hyperparameters_json,target_rows,target_positive_lanes,history_candidate_sha256,target_candidate_sha256,selection_sha256,metric_artifact_sha256,score_artifact_sha256,manifest_sha256,run_config_sha256,post_freeze_semantic_attestation_sha256,nbfnet_source_evidence_sha256,metric_recomputation_source_sha256,run_id
chain,five_seeds,sheep,a,kge,lane_average_precision,0.15661341888653005,0.0066652497734628778,5,"[0.16060938313425357,0.15779143497286333,0.14436072908482225,0.163999190739176,0.156306356501535]",RotatE,"{""batch_size"":2048,""embedding_dim"":128,""epochs"":150,""learning_rate"":0.01}",15153,552,b10bba638f60fbac6f2b35992a13122affbb50fe785060ba1f20be96d00e540c,84a1b20792abdea98fc601d01c080d4e0f44743b97fabf5307b86d4182bf6674,3f5769a8c875eeec831484b0a535a618399f0500629e7b2b9143f8ca24cb94b5,11b8f8fb4774495549514597b2f3bc4f82e876b51deb2b362406502910e7ae2e,f1f496b2ae6b3c027ad002875c2f17664180e8ad093ff153a7d3df554b53669a,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,sheep,b1,kge,entry_average_precision,0.37126751102321431,0.056529249778393069,5,"[0.407256148938431,0.4002757035901212,0.34036714891492587,0.27578138372543776,0.4326571699471561]",RGCN,"{""batch_size"":2048,""embedding_dim"":64,""epochs"":150,""learning_rate"":0.005}",11072,46,a8c29cad8557a74e796201edcc6c2c24490fe07a0fd79dd6572474e1dd386ffe,766ee136a8529a39b9302ee0fec75f5839884b920c5ae926c8b2134077a31bca,a888fb839d6a3f46860618dd96f9acf95c405479d6395a7bcbf2c57b57593c0e,68f394a329658e6a526de39fa3bb23a64c2eea07e390246a19e97fcedffb211c,a601288101b42f80be2c2f86da55d6e21d9b0fdeb87e49d91f8973efbf7d665f,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,sheep,b2,kge,conditional_recall_at_3,0.051111111111111107,0.03883329359400288,5,"[0.01944444444444444,0.02222222222222222,0.016666666666666666,0.1,0.09722222222222222]",DistMult,"{""batch_size"":2048,""embedding_dim"":64,""epochs"":150,""learning_rate"":0.01}",11072,46,a8c29cad8557a74e796201edcc6c2c24490fe07a0fd79dd6572474e1dd386ffe,766ee136a8529a39b9302ee0fec75f5839884b920c5ae926c8b2134077a31bca,50a11a9ca46385adc3c37f24c9a2516cc065d2e1a47a4dacda75cdaead3e4ee4,06d222c38fdc7ceb574588eb1f188be4c8da013cc1dea5af5179f1b6d3a112b0,c9e1030a9764f0a3c1f4eac378412910a12d8f7b7e5da9b79d0afa1648d45ff7,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,sheep,a,nbfnet,lane_average_precision,0.10754951439096749,0.008475072042051425,5,"[0.12288208381219982,0.10583774393637219,0.10424952469899439,0.09705212074134821,0.10772609876592282]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":4,""learning_rate"":0.005,""negatives"":32}",15153,552,b10bba638f60fbac6f2b35992a13122affbb50fe785060ba1f20be96d00e540c,84a1b20792abdea98fc601d01c080d4e0f44743b97fabf5307b86d4182bf6674,8e79f9bf5aeb13419ef6b6625d510b6d46b6fc53275d1f15112cdb2078ca361f,0c1a735baf385378e1cab1e39308077cb9e0cae123ae4383a7abe65661d7a5d5,e24e1401d28c97c2b5a5f6ab565eecd4eb8c2169fac0cfc09c1a0753a834d41f,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,sheep,b1,nbfnet,entry_average_precision,0.15665995383096254,0.0092540234100281105,5,"[0.16473047462178514,0.1529296470190858,0.14382543262018424,0.16951915392946956,0.15229506096428796]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":4,""learning_rate"":0.001,""negatives"":32}",11072,46,a8c29cad8557a74e796201edcc6c2c24490fe07a0fd79dd6572474e1dd386ffe,766ee136a8529a39b9302ee0fec75f5839884b920c5ae926c8b2134077a31bca,b0ceff2ba58aadbad08ee14508bc361732ac2819bc28e5f09b3f4d330cf7f39c,64103feea96f07ba9bdcbc4c080b23577760645d86915fc5d413c972902e8846,3c70df9ae8b0be0f11aab3cb32b9b3288957cd2ec81718eeb70ce17ce139228c,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,sheep,b2,nbfnet,conditional_recall_at_3,0.41888888888888881,0.055705353600467203,5,"[0.4527777777777778,0.4194444444444444,0.3277777777777778,0.39999999999999997,0.49444444444444435]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":4,""learning_rate"":0.001,""negatives"":32}",11072,46,a8c29cad8557a74e796201edcc6c2c24490fe07a0fd79dd6572474e1dd386ffe,766ee136a8529a39b9302ee0fec75f5839884b920c5ae926c8b2134077a31bca,703c398eb258009c503d108826d8e52da7b35d9e05d964cd2a1e843c231867fc,bccc73311bc625f5d452926de74500d91818c575fa32b5e0f436fb05d3763f01,8f97408aca1ccaef2efdf69fc92f81ee7a00404d6be75d9f23e6527e9a46e263,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,a,kge,lane_average_precision,0.11374189562050345,0.0049883628164408816,5,"[0.116298535660247,0.12182457434087009,0.10759268901899435,0.10997050096043015,0.1130231781219757]",RotatE,"{""batch_size"":2048,""embedding_dim"":64,""epochs"":150,""learning_rate"":0.005}",108040,3084,3334b9bd03803cae1b05c37f74380e97be46309a899a65a8ad9ce20f2afbbabe,4e7b9724d34ab830a06cc356feaecb24db8f5fa9081401fe46c1cfbfe9a22373,a4c17a017db832ffb430be5a2517380fe0af778046aca1c901184fa6b1d911b5,ed87617a858b2c7804bba7c7280c80a02129b95f8ec227788168d666ee6f5243,83fcb1857d248f39d3832abd90bbb2213220e370bf2f92777d412add5a1b3eb6,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,b1,kge,entry_average_precision,0.27099109786796505,0.033221522561350476,5,"[0.26383782344516715,0.22697795612988309,0.3063314655122003,0.24607236665394056,0.3117358775986341]",RotatE,"{""batch_size"":2048,""embedding_dim"":128,""epochs"":150,""learning_rate"":0.005}",50725,44,3396df9922af8447cacdcd3994e5053fdee0fe2ee870c4ab8aba532ad5767a71,09cf7fb3d24e0b8a5241ed92d19c0531f3d1560d39e72ee64100d4a4fe70fa9d,ed972ed6fd81ec7bef05d00ab3cc3b07aea4a1c0823d89ad27caadc5a981599c,0d1ec95ed6a3f0d1204d39a35c14fff1bb7e1127f52e47118c6783619cceae4d,83e6b9933c6efbb13775b19050567c2fbcad2776de0abaae1604897118037cb1,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,b2,kge,conditional_recall_at_3,0.36388888888888882,0.064788354387169997,5,"[0.4166666666666667,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.4583333333333333]",RotatE,"{""batch_size"":2048,""embedding_dim"":64,""epochs"":150,""learning_rate"":0.01}",50725,44,3396df9922af8447cacdcd3994e5053fdee0fe2ee870c4ab8aba532ad5767a71,09cf7fb3d24e0b8a5241ed92d19c0531f3d1560d39e72ee64100d4a4fe70fa9d,413534a0a924c7e953fa5a70f855489d133f9f77fd1796e5df7fba0a5ff82b76,2c61891ecbc6e86953672e0f41c7f4bb47e379e68c0171a18ac1af3ba0a8fb3b,0d87431bd7560b9be07474012d195e3e4a16789b2ac758f0c6520b04736b1bb8,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,a,nbfnet,lane_average_precision,0.14239650967899004,0.015772908677367987,5,"[0.1343521220545416,0.16257782328216341,0.15282628723839886,0.14540506708072995,0.11682124873911633]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":6,""learning_rate"":0.005,""negatives"":32}",108040,3084,3334b9bd03803cae1b05c37f74380e97be46309a899a65a8ad9ce20f2afbbabe,4e7b9724d34ab830a06cc356feaecb24db8f5fa9081401fe46c1cfbfe9a22373,b283ccec45da119d400f52e91d6bda18bf6abe2207c4c9fbf43648fc8b08daaf,ec27b67a5097e2c417413e63e54ac3c8ae92f680fb42d2ea730ab6c50c330cf6,abf191c3324958557e8743b530b21558d325e6c67332fa549c2765f18815cfeb,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,b1,nbfnet,entry_average_precision,0.26415129218559824,0.017567513609778738,5,"[0.23969626228043361,0.2934597855789627,0.25804100598142027,0.269674905292788,0.2598845017943865]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":6,""learning_rate"":0.001,""negatives"":32}",50725,44,3396df9922af8447cacdcd3994e5053fdee0fe2ee870c4ab8aba532ad5767a71,09cf7fb3d24e0b8a5241ed92d19c0531f3d1560d39e72ee64100d4a4fe70fa9d,c60c03d4c14fd73b2ff73927a21fab4933b6b0adaaed040d54edf88d2a63599c,0b3e95909042ff01fcf44e11006b789c435cd462d9f6c9aeae61475c737d24f2,3488e4ad334f2c38ca3e2477d0aa9f5f1fc730482e62f59ac9d78be93bf2038f,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,cotton,b2,nbfnet,conditional_recall_at_3,0.57314814814814807,0.036617999876454067,5,"[0.6203703703703703,0.5879629629629629,0.5648148148148148,0.5092592592592592,0.5833333333333334]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":6,""learning_rate"":0.001,""negatives"":32}",50725,44,3396df9922af8447cacdcd3994e5053fdee0fe2ee870c4ab8aba532ad5767a71,09cf7fb3d24e0b8a5241ed92d19c0531f3d1560d39e72ee64100d4a4fe70fa9d,8c4a30b3788c71623bf5a4041ce2295063e4f909afc395b2e64121c348bc1b7d,e5d9406724d7d482c2abb25dbd4b6b4ba3063b1b53221236b5143476ba0683c2,00e3800c90cc3f34d6e6519cca5cefc6fbf24f45b90a03d12ea3c7385789fc31,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,aluminium,a,kge,lane_average_precision,0.21229646967300919,0.0040510799130808166,5,"[0.21045624987477587,0.2150454000973588,0.20993277306654623,0.20734647813311988,0.21870144719324525]",RotatE,"{""batch_size"":2048,""embedding_dim"":128,""epochs"":150,""learning_rate"":0.005}",81212,3487,6f8eb34a81e8f509a1126cc60c8a18b077b6f3920a32f383e591513cd2f9f649,9c1f76f8e19f792f6bcc6d3b7f25a184236cd025aac238cfbe2f7fd17d0972df,9107e9378b00828e6682d9b5ecaffa00ebfc17e612961bb80441fbcf3af1084a,0f8d50495354857a209b7605e2d0c9fc05d553cc383495866db37b4be5679622,071905a6a362b19bf41518982ca04e3f10db6c6c44fa1fe5d8f488722bf518cf,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,aluminium,b1,kge,entry_average_precision,0.36054315298654788,0.014449092651963497,5,"[0.3823897383092646,0.3673787331869598,0.35353818669959264,0.36056417834684695,0.3388449283900753]",DistMult,"{""batch_size"":2048,""embedding_dim"":128,""epochs"":150,""learning_rate"":0.01}",49559,181,475b561b7c0eada0d4c60b38a60f1a4566979350b100c88035a3b55f591b5422,3022bd78b4f689c4235632cb3974fb22ca1021a48df94f8ecb00c433d2b4d5ed,1f812166b6053121abb99a871620be3327e9596af80aa320ce3216d911d18268,89736c7cf693c8d4cac181b0092865bf2bb03aaae5a6ce4156d20bb718c243c4,a03a74315da06bcf487ff1d25068ad6f620da2fd02d15739416b67c2385eddf0,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,aluminium,b2,kge,conditional_recall_at_3,0.19327905491698597,0.018241388448856918,5,"[0.22782567049808428,0.1907114729672201,0.17464612601106852,0.1829022988505747,0.19030970625798213]",TransE,"{""batch_size"":2048,""embedding_dim"":128,""epochs"":150,""learning_rate"":0.005}",49559,181,475b561b7c0eada0d4c60b38a60f1a4566979350b100c88035a3b55f591b5422,3022bd78b4f689c4235632cb3974fb22ca1021a48df94f8ecb00c433d2b4d5ed,54545be387a6d6c18cb22e53c935f361e9e560d7f11c06a3a5a12034b5ba717a,e38a8060e6e610c7d8b148e4b35ec6ae64a3b3677d5e015c974ac44630520aaf,ed38b1caae43c1ef23ee67e864f9d3039c3cb2e0e9d394a289f2081d0b4cb84b,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
chain,five_seeds,aluminium,a,nbfnet,lane_average_precision,0.19845090024820636,0.0099352458462494218,5,"[0.18148952700432752,0.20673339595758478,0.1934325289193568,0.2022774170852919,0.2083216322744708]",NBFNet,"{""batch_size"":64,""epochs"":25,""layers"":4,""learning_rate"":0.005,""negatives"":32}",81212,3487,6f8eb34a81e8f509a1126cc60c8a18b077b6f3920a32f383e591513cd2f9f649,9c1f76f8e19f792f6bcc6d3b7f25a184236cd025aac238cfbe2f7fd17d0972df,79019e115a4fbbb8f5d385dd5b1de9aca4a800f02bf6b9a556766e629197dca3,43355384170f85cf9997ab0e0c7512bbaa875b27f6628879b63ab63856e2e50d,87569afe85aa127695cd2ea1ec6b2768150730b002d1fb86fbd144c73ee1a08a,99db18daeb5cb4680c5f4a610c08bd3ec29b63644ad9a98022f36fd541b1647c,d7b7a94d1daa490a7d8127c4f1662a8e33a1f76501b54563532508ce501b7bd4,bd5b5e79cd72ed3b177ec29f5b4cd60a56a7011e74b483dc876cbc9f42990a8c,db8a34e58d88c093b913634d4c5b27b39ef0a9c5a4222a4c7424e41ae46b3768,8508a05935ea1253275f3226e30a30af9fc613b4b1c4ffcd2c6f8bcd0d4a050d,v2.1-gpu-rolling-oa-full-20260716-r1
